,geometry,elevation,line_id
91,POINT Z (140333.743000001 393217.772 12.3179999999993),12.32,9
92,POINT Z (140323.207600001 393218.307100002 11.6438999999955),11.64,10
93,POINT Z (140334.087000001 393218.805 11.3619999999937),11.36,9
94,POINT Z (140334.237 393219.173 11.198000000004),11.2,9
95,POINT Z (140334.309 393219.548 11.3029999999999),11.3,9
96,POINT Z (140334.419 393220.543000001 12.1849999999977),12.19,9
97,POINT Z (140324.199099999 393221.064300001 11.5812000000005),11.58,10
98,POINT Z (140324.362399999 393221.5185 11.0736999999936),11.07,10
99,POINT Z (140321.820999999 393221.702 12.0910000000003),12.09,11
100,POINT Z (140324.488899998 393221.870200001 10.7066999999952),10.71,10
101,POINT Z (140324.5557 393222.0561 10.521900000007),10.52,10
102,POINT Z (140324.620700002 393222.236900002 10.5158999999985),10.52,10
103,POINT Z (140324.666900001 393222.3653 10.5270000000019),10.53,10
104,POINT Z (140322.125999998 393222.649 11.1860000000015),11.19,11
105,POINT Z (140324.864999998 393222.916099999 11.0273000000016),11.03,10
106,POINT Z (140322.260000002 393223.065000001 11.1330000000016),11.13,11
107,POINT Z (140335.370999999 393223.112 12.4210000000021),12.42,9
108,POINT Z (140322.383000001 393223.445999999 11.2039999999979),11.2,11
109,POINT Z (140036.2238 393232.848900002 11.2097999999969),11.21,13
110,POINT Z (140033.940000001 393233.219999999 10.7160000000003),10.72,12
111,POINT Z (140035.649500001 393233.290800001 10.7538999999961),10.75,13
112,POINT Z (140033.419 393233.675999999 11.0470000000059),11.05,12
113,POINT Z (140035.038800001 393233.760699999 10.2342999999964),10.23,13
114,POINT Z (140034.6657 393234.047800001 10.1898999999976),10.19,13
115,POINT Z (140032.719999999 393234.232000001 11.7189999999973),11.72,12
116,POINT Z (140034.352600001 393234.288699999 10.2244000000064),10.22,13
117,POINT Z (140037.295000002 393234.449999999 11.6900000000023),11.69,14
118,POINT Z (140033.828000002 393234.692299999 10.6915000000008),10.69,13
119,POINT Z (140033.718199998 393234.776799999 10.8282999999938),10.83,13
